prompt,ground_truth,generated_output,structural_validity,llm_score,judge_reason
backup_email_data,"TASK ""backup_email_data""
ACTION ""BACKUP""
TARGET ""email_data""
PARAM ""frequency""=""monthly""
END","TASK ""backup_email_data""
ACTION ""backup""
TARGET ""email_data""
PARAM ""frequency""=""daily""
END",True,0,"The generated output specifies a different frequency for the backup operation ('daily' instead of 'monthly'), which changes the operational meaning of the task."
generate_weekly_summary,"TASK ""generate_weekly_summary""
ACTION ""GENERATE""
TARGET ""weekly_summary""
PARAM ""format""=""docx""
END","TASK ""generate_weekly_summary""
ACTION ""generate""
TARGET ""weekly_summary""
PARAM ""format""=""html""
END",True,0,"The generated output specifies the format as 'html', whereas the ground truth specifies 'docx'. This difference in format means the generated DSL would perform a different real-world operation."
migrate_database,"TASK ""migrate_database""
ACTION ""MIGRATE""
TARGET ""database""
PARAM ""destination""=""new_cluster""
END","TASK ""migrate_database""
ACTION ""migrate""
TARGET ""database""
PARAM ""destination""=""cloud""
END",True,0,"The generated output specifies a different destination ('cloud') compared to the ground truth ('new_cluster'), which changes the operational meaning of the migration target."
Rotate SSL certificates,"TASK ""rotate_ssl_certificates""
ACTION ""ROTATE""
TARGET ""ssl_certificates""
PARAM ""frequency""=""annually""
PARAM ""notification""=""web_admins""
END","TASK ""rotate_ssl_certificates""
ACTION ""rotate""
TARGET ""ssl_certificates""
PARAM ""method""=""automatic""
END",True,0,"The generated output does not include parameters for frequency and notification, which are present in the ground truth. Additionally, the 'method' parameter in the generated output does not match any parameter in the ground truth, potentially altering the operation's intent."
Rotate API keys,"TASK ""rotate_api_keys""
ACTION ""ROTATE""
TARGET ""api_keys""
PARAM ""interval""=""quarterly""
END","TASK ""rotate_api_keys""
ACTION ""rotate""
TARGET ""api_keys""
PARAM ""key_type""=""access""
END",True,0,"The generated output specifies a different parameter 'key_type' with value 'access', whereas the ground truth specifies 'interval' with value 'quarterly'. This changes the operational meaning of the task."
sync backup systems,"TASK ""sync_backup_systems""
ACTION ""SYNC""
TARGET ""backup_infrastructure""
PARAM ""interval""=""daily""
END","TASK ""sync_backup_systems""
ACTION ""synchronize""
TARGET ""backup_storage""
PARAM ""method""=""bidirectional""
END",True,0,"The generated output specifies a different synchronization method ('bidirectional') and a different target ('backup_storage') compared to the ground truth, which specifies an interval ('daily') and targets 'backup_infrastructure'. These differences affect the operational meaning and intent."
sync_file_shares,"TASK ""sync_file_shares""
ACTION ""SYNC""
TARGET ""file_shares""
PARAM ""method""=""real-time""
END","TASK ""sync_file_shares""
ACTION ""sync""
TARGET ""file_shares""
PARAM ""method""=""bidirectional""
END",True,0,"The generated output specifies a different synchronization method ('bidirectional') compared to the ground truth ('real-time'), which changes the operational meaning of the task."
notify_admins,"TASK ""notify_admins""
ACTION ""NOTIFY""
TARGET ""admins""
PARAM ""method""=""email""
END","TASK ""notify_admins""
ACTION ""notify""
TARGET ""admins""
PARAM ""method""=""sms""
END",True,0,"The generated output specifies 'sms' as the notification method, whereas the ground truth specifies 'email'. This changes the operational meaning of the task."
Generate financial reports,"TASK ""generate_financial_reports""
ACTION ""GENERATE""
TARGET ""financial_reports""
PARAM ""period""=""annually""
END","TASK ""generate_financial_reports""
ACTION ""generate""
TARGET ""financial_system""
PARAM ""period""=""quarterly""
PARAM ""format""=""pdf""
END",True,0,"The generated output specifies a different target ('financial_system' instead of 'financial_reports') and a different period ('quarterly' instead of 'annually'), which changes the intent and operational meaning of the task."
analyze_application_logs,"TASK ""analyze_application_logs""
ACTION ""ANALYZE""
TARGET ""application_logs""
PARAM ""tool""=""log_analysis""
PARAM ""duration""=""14 days""
END","TASK ""analyze_application_logs""
ACTION ""analyze""
TARGET ""application_logs""
PARAM ""time_frame""=""last_7_days""
PARAM ""output""=""summary""
END",True,0,"The generated output specifies a different time frame ('last_7_days' instead of '14 days') and includes an additional parameter 'output' with value 'summary', which is not present in the ground truth. These differences affect the operational meaning and intent of the task."
Sync files with backup server,"TASK ""sync_files_backup_server""
ACTION ""SYNC""
TARGET ""backup_server""
PARAM ""direction""=""unidirectional""
PARAM ""schedule""=""daily""
END","TASK ""sync_files_backup_server""
ACTION ""sync""
TARGET ""files""
PARAM ""destination""=""backup_server""
END",True,0,"The generated output specifies the target as 'files' instead of 'backup_server', and it lacks the parameters for 'direction' and 'schedule', which are crucial for defining the operation's intent and timing."
deploy new security policies,"TASK ""deploy_new_security_policies""
ACTION ""DEPLOY""
TARGET ""security_policy_management""
PARAM ""policy_set""=""new""
END","TASK ""deploy_new_security_policies""
ACTION ""deploy""
TARGET ""security_system""
PARAM ""version""=""1.2""
PARAM ""rollback""=""disabled""
END",True,0,"The generated output targets 'security_system' instead of 'security_policy_management', which changes the intent and target semantics. Additionally, the parameters 'version' and 'rollback' do not align with the 'policy_set' parameter in the ground truth."
review incident reports,"TASK ""review_incident_reports""
ACTION ""REVIEW""
TARGET ""incident_management_system""
PARAM ""timeframe""=""last_month""
END","TASK ""review_incident_reports""
ACTION ""review""
TARGET ""incident_reports""
PARAM ""scope""=""all""
END",True,0,"The generated output specifies a different target ('incident_reports' instead of 'incident_management_system') and a different parameter ('scope'='all' instead of 'timeframe'='last_month'), which changes the operational meaning and intent of the task."
Validate network configurations,"TASK ""validate_network_configurations""
ACTION ""VALIDATE""
TARGET ""network_configurations""
PARAM ""method""=""schema_check""
END","TASK ""validate_network_configurations""
ACTION ""validate""
TARGET ""network_configs""
PARAM ""scope""=""full""
END",True,0,"The generated output has a different parameter 'scope' with value 'full' instead of 'method' with value 'schema_check', which changes the operational meaning of the validation process."
scan_for_open_ports,"TASK ""scan_for_open_ports""
ACTION ""SCAN""
TARGET ""network""
PARAM ""type""=""open_ports""
END","TASK ""scan_for_open_ports""
ACTION ""scan""
TARGET ""network""
PARAM ""range""=""all""
PARAM ""output""=""detailed""
END",True,0,"The generated output specifies scanning all ports with detailed output, which is not semantically equivalent to scanning specifically for open ports as indicated in the ground truth."
